,"Island","Name","Organism","Sample","label","Alt_label"
"10","Anjouan","B05_Anj4","Cratopus Anjouan_sp2","T-Anj4","Cratopus Anjouan_sp2 (Anjouan)","Cratopus Anjouan_sp2 (Anjouan)"
"18","Mahe","B11_Mah1","Cratopus Mahe_sp1","T-Mah1","Cratopus Mahe_sp1 (Mahe)","Cratopus Mahe_sp1 (Mahe)"
"19","Rodrigues","H10_Rod124","Cratopus rocki","T-Rod 124","Cratopus rocki (Rodrigues)","Cratopus rocki (Rodrigues)"
"2","La Digue","F08_Dig6","Cratopus LaDigue_sp1","T-Dig6","Cratopus LaDigue_sp1 (La Digue)","Cratopus LaDigue_sp1 (La Digue)"
"22","Reunion","D01_Reu5116","Cratopus bernei","T-Reu 5116","Cratopus bernei (Reunion)","Cratopus bernei (Reunion)"
"24","Praslin","D06_Pra6","Cratopus segregatus","T-Pra6","Cratopus segregatus (Praslin)","Cratopus segregatus (Praslin)"
"27","La Digue","B01_Dig5","Cratopus aurostriatus","T-Dig5","Cratopus aurostriatus (La Digue)","Cratopus aurostriatus (La Digue)"
"35","Mauritius","G09_Mau3357","Cratopus variegatus","T-Mau 3357","Cratopus variegatus (Mauritius)","Cratopus variegatus (Mauritius)"
"37","Rodrigues","A11_Rod56","Cratopopsis pauliani","T-Rod 56","Cratopopsis pauliani (Rodrigues)","Cratopopsis pauliani (Rodrigues)"
"49","Grande Comore","G03_GRA10","Cratopus subdenudatus","T-GRA10","Cratopus subdenudatus (Grande Comore)","Cratopus subdenudatus (Grande Comore)"
"5","Mauritius","E07_Mau3707","Scaevinus subtruncatus","T-Mau 3707","Scaevinus subtruncatus (Mauritius)","Scaevinus subtruncatus (Mauritius)"
"50","Reunion","B10_Reu2320","Scaevinus dombayae","T-Reu 2320","Scaevinus dombayae (Reunion)","Scaevinus dombayae (Reunion)"
"65","Rodrigues","H03_Rod257","Cratopus inornatus","T-Rod 257","Cratopus inornatus (Rodrigues)","Cratopus inornatus (Rodrigues)"
"9","Anjouan","G05_Anj3","Cratopus Anjouan_sp1","T-Anj3","Cratopus Anjouan_sp1 (Anjouan)","Cratopus Anjouan_sp1 (Anjouan)"
"17","Mauritius","G08_Mau3628","Cratopus melanocephalus","T-Mau 3628","Cratopus melanocephalus (Mauritius)","Cratopus melanocephalus (Mauritius)"
"3","Reunion","E10_Reu3072","Cratopus septemvittatus","T-Reu 3072","Cratopus septemvittatus (Reunion)","Cratopus septemvittatus (Reunion)"
"76","Mauritius","A09_Mau3863","Cratopus nigrogranatus","T-Mau 3863","Cratopus nigrogranatus (Mauritius)","Cratopus nigrogranatus (Mauritius)"
"82","Reunion","C10_Reu2580","Cratopus exquisitus","T-Reu 2580","Cratopus exquisitus (Reunion)","Cratopus exquisitus (Reunion)"
"13","Reunion","H01_Reu3824","Cratopus nigridorsis","T-Reu 3824","Cratopus nigridorsis (Reunion)","Cratopus nigridorsis group (Reunion)"
"21","Mauritius","H06_Mau3721","Cratopus aeneoniger","T-Mau 3721","Cratopus aeneoniger (Mauritius)","Cratopus aeneoniger group (Mauritius)"
"31","Mauritius","E06_Mau3680","Cratopus fasciger","T-Mau 3680","Cratopus fasciger (Mauritius)","Cratopus fasciger (Mauritius)"
"34","Reunion","B04_Reu3461","Cratopopsis bistigma","T-Reu 3461","Cratopopsis bistigma (Reunion)","Cratopopsis bistigma (Reunion)"
"39","Mauritius","F07_Mau3606","Cratopus nothus","T-Mau 3606","Cratopus nothus (Mauritius)","Cratopus nothus (Mauritius)"
"40","Mauritius","C08_Mau3856","Cratopus cariei","T-Mau 3856","Cratopus cariei (Mauritius)","Cratopus cariei (Mauritius)"
"41","Rodrigues","F10_Rod164","Cratopus virescens","T-Rod 164","Cratopus virescens (Rodrigues)","Cratopus virescens (Rodrigues)"
"42","Mauritius","B06_Mau3284","Cratopus mundulus","T-Mau 3284","Cratopus mundulus (Mauritius)","Cratopus mundulus (Mauritius)"
"44","Rodrigues","D07_Rod286","Cratopus viridipunctatus","T-Rod 286","Cratopus viridipunctatus (Rodrigues)","Cratopus viridipunctatus (Rodrigues)"
"47","Mauritius","F09_Mau3649","Cratopus armatus","T-Mau 3649","Cratopus armatus (Mauritius)","Cratopus armatus (Mauritius)"
"48","Mauritius","G07_Mau3572","Cratopus viridilimbatus","B06_Mau3284","Cratopus viridilimbatus (Mauritius)","Cratopus viridilimbatus (Mauritius)"
"53","Mauritius","A06_Mau3268","Cratopopsis mauritianus","T-Mau 3268","Cratopopsis mauritianus (Mauritius)","Mauritius Cratopopsis group"
"57","Reunion","A02_Reu3926","Cratopus frappieri","T-Reu 3926","Cratopus frappieri (Reunion)","Cratopus frappieri (Reunion)"
"59","Mauritius","B08_Mau256","Cratopus striga","T-Mau 256","Cratopus striga (Mauritius)","Cratopus striga (Mauritius)"
"63","Reunion","D09_Reu2041","Cratopus brunnipes","T-Reu 2041","Cratopus brunnipes (Reunion)","Cratopus brunnipes (Reunion)"
"11","Juan de Nova","F06_JDN39","Cratopus adspersus","T-JDN39","Cratopus adspersus (Juan de Nova)","Cratopus adspersus (Juan de Nova)"
"12","Moheli","F01_Moh1","Cratopus Moheli_sp1","T-Moh1","Cratopus Moheli_sp1 (Moheli)","Cratopus Moheli_sp1 (Moheli)"
"16","Reunion","E09_Reu268","Cratopopsis cribatus subgroup 3","T-Reu 268","Cratopopsis cribatus subgroup 3 (Reunion)","Reunion Cratopopsis group"
"25","Aldabra","G01_Ald9","Cratopus griseovestitus","T-Ald9","Cratopus griseovestitus (Aldabra)","Cratopus griseovestitus (Aldabra)"
"29","Mauritius","D02_Mau3001","Cratopus murinus","T-Mau 3001","Cratopus murinus (Mauritius)","Cratopus murinus (Mauritius)"
"36","Cousine Island","G02_Csne2","Cratopus griseovestitus","T-Csne2","Cratopus griseovestitus (Cousine Island)","Cratopus griseovestitus (Cousine Island)"
"4","Reunion","D04_Reu4006","Cratopus humeralis","T-Reu 4006","Cratopus humeralis (Reunion)","Cratopus humeralis group (Reunion)"
"46","Aldabra","A01_Ald3","Cratopus viridsparsus","T-Ald3","Cratopus viridsparsus (Aldabra)","Cratopus viridsparsus (Aldabra)"
"52","Silhouette","B02_Sil4","Cratopus griseovestitus","T-Sil4","Cratopus griseovestitus (Silhouette)","Cratopus griseovestitus (Silhouette)"
"55","Cousin Island","H09_Csn1","Cratopus griseovestitus","T-Csn1","Cratopus griseovestitus (Cousin Island)","Cratopus griseovestitus (Cousin Island)"
"56","Mauritius","E04_Mau270","Cratopus punctum","T-Mau 270","Cratopus punctum (Mauritius)","Cratopus punctum (Mauritius)"
"60","Grande Glorieuse","G10_GGL2","Cratopus gloriosus","T-GGL2","Cratopus gloriosus (Grande Glorieuse)","Cratopus gloriosus (Grande Glorieuse)"
"67","Reunion","C04_Reu3837","Cratopus nanus","T-Reu 3837","Cratopus nanus (Reunion)","Cratopus nanus (Reunion)"
"7","La Digue","C05_Dig2","Cratopus griseovestitus","T-Dig2","Cratopus griseovestitus (La Digue)","Cratopus griseovestitus (La Digue)"
"70","Mauritius","B03_Mau3189","Cratopus caliginosus","T-Mau 3189","Cratopus caliginosus (Mauritius)","Cratopus caliginosus (Mauritius)"
"71","Mauritius","H08_Mau3333","Cratopus psittacus","T-Mau 3333","Cratopus psittacus (Mauritius)","Cratopus psittacus (Mauritius)"
"74","Europa","C09_EUR51","Cratopus viridisparsus","T-EUR51","Cratopus viridisparsus (Europa)","Cratopus viridisparsus (Europa)"
"75","Aride Island","A07_Ari1","Cratopus griseovestitus","T-Ari1","Cratopus griseovestitus (Aride Island)","Cratopus griseovestitus (Aride Island)"
"77","Mauritius","C02_Mau3202","Cratopus molitor","T-Mau 3202","Cratopus molitor (Mauritius)","Cratopus molitor (Mauritius)"
"78","Mauritius","H07_Mau3899","Cratopus ovalis","T-Mau 3899","Cratopus ovalis (Mauritius)","Cratopus ovalis (Mauritius)"
"8","Grande Comore","H05_GRA5","Cratopus GrandeComore_sp1","T-GRA5","Cratopus GrandeComore_sp1 (Grande Comore)","Cratopus GrandeComore_sp1 (Grande Comore)"
"80","Reunion","C06_Reu2000","Cratopus ditissimus","T-Reu 2000","Cratopus ditissimus (Reunion)","Cratopus ditissimus (Reunion)"
"85","Reunion","Reu_punc","Cratopus punctum","T-Reu 3911","Cratopus punctum (Reunion)","Cratopus punctum (Reunion)"
"86","Reunion","Reu_mur","Cratopus murinus","T-Reu 3850","Cratopus murinus (Reunion)","Cratopus murinus (Reunion)"
"62","Madagascar","A04_Mad502","Polyclaeis equestris","T-Mad502","Polyclaeis equestris (Madagascar)","Polyclaeis equestris (Madagascar)"
